[2022-04-22T11:43:51.964] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.964] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.965] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.965] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.965] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.966] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.966] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.969] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.969] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.970] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.970] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.970] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.971] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.971] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.972] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.972] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.972] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.973] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.973] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.974] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.974] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.974] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.975] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.975] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.975] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.976] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.976] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.977] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.977] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.977] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.978] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.978] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.978] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.979] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.979] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.979] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.980] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.980] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.981] [INFO] csvReader - CSV line 1
